day,weighted_TS
21/08/19,0.61296194
22/08/19,0.621487815
23/08/19,0.632712086
24/08/19,0.638921991
25/08/19,0.672314645
26/08/19,0.628329858
27/08/19,0.622224444
28/08/19,0.629631488
29/08/19,0.632127839
30/08/19,0.618563409
31/08/19,0.641634441
01/09/19,0.661256492
02/09/19,0.677305644
03/09/19,0.614904862
04/09/19,0.614620269
05/09/19,0.614988543
06/09/19,0.617432867
07/09/19,0.634091979
08/09/19,0.644816302
09/09/19,0.625143076
10/09/19,0.62423014
11/09/19,0.612766101
12/09/19,0.607784358
13/09/19,0.624490789
14/09/19,0.616641096
15/09/19,0.633179662
16/09/19,0.623721923
17/09/19,0.621383298
18/09/19,0.642347827
19/09/19,0.640664074
20/09/19,0.637955392
21/09/19,0.6769258
22/09/19,0.710053915
23/09/19,0.667400972
24/09/19,0.647148443
25/09/19,0.646753033
26/09/19,0.651041228
27/09/19,0.640789835
28/09/19,0.66900268
29/09/19,0.696677878
30/09/19,0.646389884
01/10/19,0.647179305
02/10/19,0.638624052
03/10/19,0.636008051
04/10/19,0.637614767
05/10/19,0.660241545
06/10/19,0.69983959
07/10/19,0.642172585
08/10/19,0.646590608
09/10/19,0.658764922
10/10/19,0.647828375
11/10/19,0.619574204
12/10/19,0.649725235
13/10/19,0.668080819
14/10/19,0.668625584
15/10/19,0.674999855
16/10/19,0.656197906
17/10/19,0.717898005
18/10/19,0.725256019
19/10/19,0.754010971
20/10/19,0.771677155
21/10/19,0.736490103
22/10/19,0.742725356
23/10/19,0.680954819
24/10/19,0.655365371
25/10/19,0.66082029
26/10/19,0.685284919
27/10/19,0.708230791
28/10/19,0.668012761
29/10/19,0.659897052
30/10/19,0.66165772
31/10/19,0.672120383
01/01/20,0.732328303
02/01/20,0.700325606
03/01/20,0.69502949
04/01/20,0.712327653
05/01/20,0.731645714
06/01/20,0.700163445
07/01/20,0.699353978
08/01/20,0.692701933
09/01/20,0.67624416
10/01/20,0.687823808
11/01/20,0.709064917
12/01/20,0.737804535
13/01/20,0.669978982
14/01/20,0.681906613
15/01/20,0.676150353
16/01/20,0.661572038
17/01/20,0.669184497
18/01/20,0.704945092
19/01/20,0.731827305
20/01/20,0.715066036
21/01/20,0.690441353
22/01/20,0.637129516
23/01/20,0.690819942
24/01/20,0.691895605
25/01/20,0.717304665
26/01/20,0.72782757
27/01/20,0.699939531
28/01/20,0.685578999
29/01/20,0.684753318
30/01/20,0.706069894
31/01/20,0.683227892
01/02/20,0.69848609
02/02/20,0.724837708
03/02/20,0.699812112
04/02/20,0.682215753
05/02/20,0.693247988
06/02/20,0.688757745
07/02/20,0.684126056
08/02/20,0.700565684
09/02/20,0.689987578
10/02/20,0.662097912
11/02/20,0.649387662
12/02/20,0.66761515
13/02/20,0.675227745
14/02/20,0.682172199
15/02/20,0.708649409
16/02/20,0.719021358
17/02/20,0.691127143
18/02/20,0.67793353
19/02/20,0.657079204
