year_month,sum(severity_level),total_volume_for_month,safety_score
2019-10,9426,1.8376887E7,5.129269173826884
2019-03,8492,2.6253141E7,3.2346605688058427
2019-07,8592,2.7367839E7,3.139451383063164
2019-05,9389,2.7691345E7,3.3905900923194596
2019-08,7974,2.4691887E7,3.2294008149316413
2019-01,7850,2.1595894E7,3.634950236373636
2019-09,8163,1.8741575E7,4.355557096988914
2019-06,8621,2.7705598E7,3.1116455237674354
2019-04,8984,2.6901257E7,3.339620895781933
2019-02,7538,2.2975465E7,3.280891159330181
