Month,Year,Traffic Score
1,2019,0.689714439
2,2019,0.679867794
3,2019,0.692149453
4,2019,0.67451529
5,2019,0.687649506
6,2019,0.689889976
7,2019,0.68424021
8,2019,0.669851313
9,2019,0.641396945
10,2019,0.675886101
1,2020,0.696788153
2,2020,0.686871973
3,2020,0.7174002
4,2020,0.727258398
5,2020,0.715703194
6,2020,0.706458528
7,2020,0.710971723
8,2020,0.698404459
9,2020,0.708762177
10,2020,0.698269705
