,city,mean,S_diff,num_bootstraps,CI
0,Lampang,82.41860018226119,260.5316675514882,756,75.6
1,Kielce,60.66060606060606,118.6242424242424,971,97.1
2,Erzurum,94.95994466578959,232.9697614873112,832,83.2
3,Kobe,41.85155145844453,57.24921024123264,928,92.8
4,Donostia / San Sebastián,35.922837688667784,56.95581088436347,855,85.5
5,Nagasaki,42.390150661996195,41.94610828226437,667,66.7
6,Hegang,64.38769941435403,123.45956547160667,879,87.9
7,Xi’an,114.53164062871379,217.57996889944238,535,53.5
8,Burgos,25.389560872479393,37.574320826559415,742,74.2
9,Liège,32.27795561658964,100.49074132562238,944,94.4
10,Castelló de la Plana,28.795323949008594,84.68654545615061,996,99.6
11,Freiburg,30.104768347614563,57.3134155981208,480,48.0
12,El Paso,27.110436139530965,42.37948189957365,988,98.8
13,Chennai,78.51499525996189,141.11243353420775,938,93.8
14,Buenos Aires,37.605728545285544,51.69490144844115,916,91.6
15,Québec,28.87312565616931,48.9257001402996,681,68.1
16,Karlsruhe,35.93189852108095,70.29604838370139,480,48.0
17,Tallinn,17.219103932466002,41.40687173103747,947,94.7
18,Poznań,37.44161670847888,21.597449796863323,789,78.9
19,Modena,61.9985255551964,171.1892311125479,611,61.1
20,Linz,40.54917043267572,63.09629977070897,447,44.7
21,Guiyang,72.92551810212404,126.1294526987658,864,86.4
22,Wuhan,101.23901315643529,153.4882422777445,817,81.7
23,Mérida,66.67870751132371,48.54394580487527,703,70.3
24,Kütahya,57.781872924758545,134.19435536414596,537,53.7
25,Yazd,0.7142857142857144,2.8571428571428577,0,0.0
26,Leeds,36.62825559297334,74.83628712237575,986,98.6
27,San Jose,29.89508768561188,81.87387672811064,962,96.2
28,Hohhot,92.84692476445814,259.2981578534554,828,82.8
29,Kaunas,41.124985367445994,85.439096158526,934,93.4
30,Nîmes,33.41064773758588,62.861073510809916,865,86.5
31,Tuzla,82.85702174169917,247.17436019671834,847,84.7
32,Amsterdam,37.740788189223956,60.26387779427973,775,77.5
33,Vancouver,19.433762383179793,43.579141900307135,576,57.6
34,Brno,45.27286376397055,80.52319932199798,375,37.5
35,San Luis Potosí,89.62053135963036,241.81270214768543,679,67.9
36,Livorno,46.07244296613039,89.64082835345351,499,49.9
37,Ningbo,76.74305560405027,130.07424455768512,803,80.3
38,Adana,86.5,0.0,0,0.0
39,Jinan,112.96443528353983,141.1297437051883,436,43.6
40,Keelung,40.211454339443776,45.92090470554031,449,44.9
41,Darmstadt,33.26134111840452,69.30212697326161,601,60.1
42,Kamianske,32.09614096287383,105.20607193449234,963,96.3
43,Rouen,40.32051066440666,77.4316661369776,942,94.2
44,Płock,52.178230390299355,70.53819954609719,573,57.3
45,Belgrade,64.63996166205565,176.74135720601237,750,75.0
46,Ottawa,28.21490043373386,65.26793832789383,965,96.5
47,Saint Paul,27.573914052515278,46.13296840812137,924,92.4
48,Foshan,77.73971320053077,160.12946273229926,892,89.2
49,Haiphong,19.549763616596525,47.93453833735384,908,90.8
50,Huế,20.99558647889116,42.23693718894446,981,98.1
51,Brussels,38.83312973908939,82.94504803932358,921,92.1
52,Wrocław,51.92851197436849,84.53326393048303,672,67.2
53,Oakland,31.957560581489943,68.09233066247805,876,87.6
54,Yinchuan,92.64792043560816,191.93410298683517,653,65.3
55,Tampere,17.182523995594075,31.1437541509288,722,72.2
56,Hanoi,74.40454512649079,305.97547518467076,969,96.9
57,Richards Bay,26.29883026996486,121.60783939827317,998,99.8
58,Szczecin,44.97064464008986,89.34762165362137,946,94.6
59,Tokyo,39.20095841040989,61.72773049623712,944,94.4
60,Perpignan,35.29012415762011,81.51707268874651,973,97.3
61,Changzhou,100.18589791974802,122.59934226878062,589,58.9
62,Jieyang,77.30647230812691,136.01211755430325,913,91.3
63,Indianapolis,34.40505796190585,27.873316539473386,528,52.8
64,Kermanshah,62.73675213675214,5.724786324786336,337,33.7
65,Düsseldorf,31.01091243758096,9.618202644593087,320,32.0
66,Moscow,41.16658340168977,35.16720681740705,484,48.4
67,Miyazaki,44.37884141557524,42.24281689709077,861,86.1
68,Raleigh,33.07387480119683,68.90644786093902,994,99.4
69,Sejong,78.05435373009762,137.582213083388,751,75.1
70,Suncheon,52.92387824757123,71.32577562099237,617,61.7
71,Cape Town,30.04645044198993,63.92159948114342,994,99.4
72,Honolulu,17.680782968730693,23.48618650352247,993,99.3
73,Bratislava,45.3752604983695,67.3708239449341,474,47.4
74,Little Rock,33.93283079082578,37.68953930292922,733,73.3
75,Ulan Bator,113.32946417536239,330.7236179529282,779,77.9
76,Bergen,20.00282412557162,33.11558521814362,544,54.4
77,Ḩawallī,112.84483312926722,164.69841499882517,952,95.2
78,Ternopil,33.049221221245695,67.20086088056054,542,54.2
79,Las Palmas de Gran Canaria,33.137635821106336,46.780567120433744,674,67.4
80,Medellín,67.86356290786213,92.0944420552874,776,77.6
81,Arāk,44.577220305494784,304.0072088051301,998,99.8
82,Thessaloníki,47.899873424066975,38.371115622728546,983,98.3
83,Antwerpen,42.39444261440065,77.95370026465274,878,87.8
84,Berlin,37.32613303803168,78.43744140314635,940,94.0
85,Johannesburg,76.26884418109391,123.0632016342946,906,90.6
86,Besançon,32.40479987052799,101.33961865914256,945,94.5
87,San Antonio,34.81189566211813,42.14847700809881,919,91.9
88,Chiang Mai,80.81317138599256,263.9439035894586,746,74.6
89,Saint Petersburg,30.618249083343635,38.38175091665637,291,29.1
90,Turku,16.44094716215684,27.06258990113828,771,77.1
91,Ghāziābād,156.7241991848221,418.3857392761735,660,66.0
92,Salt Lake City,23.464457557644437,78.24236962518394,954,95.4
93,Niigata,32.28764274016985,60.953399003743144,911,91.1
94,Charleroi,33.44657335440666,112.01685205005269,924,92.4
95,Accra,61.05113730355666,15.776695616211754,825,82.5
96,Sydney,32.08808388033917,90.08611506680198,931,93.1
97,Takamatsu,39.88409188373732,73.71391941391946,981,98.1
98,Stavanger,24.939716884586186,50.411283463786276,694,69.4
99,Strasbourg,49.465388924201505,60.44567786959068,537,53.7
100,Taitung City,31.095630319809956,44.29145305936193,669,66.9
101,Mainz,40.58461538461539,19.764102564102572,499,49.9
102,Nagpur,79.76111113661048,115.54726052268245,975,97.5
103,Kyoto,42.42381236749284,46.43066459171159,882,88.2
104,Addis Ababa,64.84100052533243,89.00993366045569,749,74.9
105,Oslo,26.48718785694592,55.072202036314906,925,92.5
106,Calama,27.447888900433394,41.82302626307076,698,69.8
107,Qingdao,88.67047761825988,174.82312615699715,643,64.3
108,Nizhniy Novgorod,34.17275161702303,33.55838174102914,893,89.3
109,Bydgoszcz,53.45463635475374,74.87818411130976,611,61.1
110,Niš,84.13222711891372,194.15544922031995,670,67.0
111,Delhi,156.33401748109762,366.1002068164201,601,60.1
112,Gasteiz / Vitoria,36.519698949857464,44.56429135072076,930,93.0
113,Novosibirsk,56.65386054434998,59.85684184188076,776,77.6
114,Zhengzhou,115.66490225878432,198.18823832205317,527,52.7
115,Kerman,48.77358288726476,324.1769849727581,999,99.9
116,Saint-Étienne,30.64651684445205,58.510844433035764,408,40.8
117,Nicosia,59.77767436956815,69.62139948946131,998,99.8
118,Pécs,43.241854196971,126.00188956390289,842,84.2
119,Leicester,33.30323152777269,77.02957159019445,998,99.8
120,Bilbao,39.41620715290765,42.82941101970579,673,67.3
121,Nakhon Pathom,61.26754332060227,170.88926312841772,962,96.2
122,Nice,38.61403072502211,59.81029117110165,903,90.3
123,Dublin,29.92185836268738,108.99001403001733,995,99.5
124,Queens,25.37416088422762,35.30938344191956,245,24.5
125,Ho Chi Minh City,69.22864551790441,106.56774240544405,997,99.7
126,Breda,33.64084824611799,90.86106688546899,965,96.5
127,Guadalajara,54.97730799752028,103.55554233785145,946,94.6
128,Ashkelon,55.62213028891144,62.83102822156222,991,99.1
129,Hyderabad,96.70565857328928,227.96412307257714,929,92.9
130,Okayama,46.87884690508787,58.793842020743405,866,86.6
131,Ulsan,61.36350091710909,112.38969466990186,981,98.1
132,Nantes,34.94074180747568,45.11326804915507,669,66.9
133,Port Elizabeth,34.579168758259414,36.88000793854519,883,88.3
134,Singapore,48.966139040325636,107.35258809136728,997,99.7
135,Zaporizhia,42.61430849285608,114.55829499878446,978,97.8
136,Rijeka,35.43976820396846,44.550107967251954,560,56.0
137,Boston,28.78995072872993,45.62853312797703,861,86.1
138,Nashville,33.94145599641984,48.91136278132943,923,92.3
139,Halifax,19.356706771938974,16.69779482969138,247,24.7
140,Willemstad,40.094279733781285,63.07040255465742,924,92.4
141,Istanbul,62.3680473668794,69.06482649513796,675,67.5
142,Bloemfontein,83.91315672101696,332.28591759581434,997,99.7
143,Fort Worth,31.663329786793355,42.47111476460755,804,80.4
144,Wakayama,40.84411846496108,46.829569892473046,785,78.5
145,Victoria,23.37691523684572,89.02530737585248,999,99.9
146,Göteborg,23.302099998578026,32.382835031682305,910,91.0
147,Jerusalem,56.69520408987873,36.7456078250016,846,84.6
148,Rancagua,72.55599089376203,204.0985046215372,795,79.5
149,Southend-on-Sea,33.025381104496795,66.45993700095477,744,74.4
150,Launceston,18.27245563344701,43.355239770889156,690,69.0
151,Novi Sad,62.543220236744446,147.93234708416793,722,72.2
152,Kolkata,111.52527376606211,359.5332439058591,909,90.9
153,Toulon,40.30103645890631,119.43979767914692,993,99.3
154,Shenyang,103.59207731151558,181.7674349195484,488,48.8
155,İzmit,60.61455722520796,73.07284914545755,682,68.2
156,Columbia,35.17457098127843,35.03334689925905,379,37.9
157,Auckland,32.89366155626119,81.75135461000784,999,99.9
158,Funchal,20.289634712177527,35.82425685021462,647,64.7
159,Chuncheon,62.10363594198412,119.26594778352322,602,60.2
160,Haikou,54.74427227003005,136.8691474790196,902,90.2
161,Nagano,30.977442312276157,43.19032696076633,653,65.3
162,Xinxiang,124.03856352907383,209.02273084257246,780,78.0
163,Jaipur,107.56336481078553,161.9824687856941,906,90.6
164,Seattle,25.633057869549802,82.13160079168138,997,99.7
165,Jackson,35.10287118640844,36.3325898671839,712,71.2
166,Jakarta,111.00281753804357,232.03659948059772,995,99.5
167,Clermont-Ferrand,34.78037459543299,60.68652598328615,374,37.4
168,Almaty,54.42277516473722,86.27685669202313,875,87.5
169,Trieste,45.62450925054349,70.37609551298712,674,67.4
170,Baltimore,30.59460012549557,34.66046176663535,705,70.5
171,Karaj,52.811021505376345,362.14381720430106,999,99.9
172,Daegu,67.34101984330711,81.41848591094984,535,53.5
173,Qom,43.459395395875475,228.89433919969974,995,99.5
174,Tainan,66.50819990940958,139.99685346015997,875,87.5
175,Morelia,52.60932616080004,86.20252434192915,924,92.4
176,Sarajevo,80.1606007037918,275.25501657605514,800,80.0
177,Dijon,22.814561251628405,61.29645588497996,998,99.8
178,Calgary,21.28415991143327,47.25531672859955,977,97.7
179,Salem,24.524140231446967,126.15786421895999,995,99.5
180,Adapazarı,67.61158025189356,120.81073619386554,512,51.2
181,Dongguan,81.73731993118118,205.61156428388068,972,97.2
182,Detroit,34.326566053660976,31.328026128007604,882,88.2
183,Trondheim,17.609283887537504,25.970852161063494,539,53.9
184,Skopje,81.46303108120405,130.82732557270933,888,88.8
185,Olomouc,45.143094642195045,66.99942806822403,223,22.3
186,Lhasa,37.147820652033666,52.633280228608356,899,89.9
187,Liverpool,27.472041996835753,53.59519948150832,676,67.6
188,Melbourne,28.109388492640715,50.33708451664515,914,91.4
189,Tehran,58.43224130800604,400.6923558227091,999,99.9
190,Lisbon,36.98009000073795,68.88987358992915,680,68.0
191,Manila,37.7412474899961,114.7587525100039,0,0.0
192,Dallas,32.42178059820232,28.283320600422975,535,53.5
193,Dhaka,133.86239371839693,288.5265027253524,623,62.3
194,Montpellier,33.15771261480213,46.60210695432147,458,45.8
195,Saint-Denis,29.457112578281933,70.26156283232898,999,99.9
196,Samut Prakan,79.7556376658504,159.91921264605497,952,95.2
197,Nanjing,94.61627585969215,147.09080834117674,743,74.3
198,Warsaw,52.64090952537143,76.72461074644056,548,54.8
199,Orléans,32.007036910839744,71.87406117705055,923,92.3
200,Puebla,71.64935264428352,31.932894448101848,885,88.5
201,Orūmīyeh,56.53769243898275,24.549885646014637,785,78.5
202,Lyon,37.39775338831234,89.3015185608484,697,69.7
203,Birmingham,30.54447114222046,76.13952124434059,924,92.4
204,Matsuyama,44.946597163650836,66.61944155831807,974,97.4
205,Yunfu,74.19909161719507,171.8484610495178,973,97.3
206,Manama,119.3563448856483,118.20407962449103,941,94.1
207,Nijmegen,36.43046100096294,66.97989367340726,858,85.8
208,Temuco,70.4888053609967,218.30973840150708,802,80.2
209,Middelburg,62.9632876870757,203.25215321437508,957,95.7
210,Oaxaca,53.670123923817876,206.2230993906565,969,96.9
211,Bologna,47.85573611331815,112.06949630983283,455,45.5
212,Beijing,102.41091684085289,122.24341413128963,792,79.2
213,Eindhoven,39.49553310828339,78.91184984061798,943,94.3
214,Concepción,58.43413537935925,73.01071589006087,437,43.7
215,Oviedo,44.01938377637071,103.21735308937758,991,99.1
216,Odessa,33.20332272073856,87.69339700890194,951,95.1
217,São José dos Campos,42.455607317194264,71.03743591856309,908,90.8
218,Kitchener,26.188915339388092,27.380283342908598,799,79.9
219,Changwon,59.48545208113479,74.58107958272723,822,82.2
220,Nanchang,89.96866835657853,161.4161709235333,927,92.7
221,Baghdad,92.5932183628537,136.638749663925,984,98.4
222,Groningen,28.439416336969174,74.48568549235958,906,90.6
223,Milwaukee,31.188767009470567,41.60898726165687,826,82.6
224,Bandar Abbas,72.60132575757575,145.20265151515156,760,76.0
225,Dushanbe,104.86751613853949,140.9390875901998,841,84.1
226,Ürümqi,100.05126941174633,346.96197304425897,708,70.8
227,Marseille,39.42897683594986,64.12205566726561,574,57.4
228,Brooklyn,27.087999928016615,45.20099567963864,434,43.4
229,East London,31.399916589436867,66.50559272658538,529,52.9
230,Jeonju,74.93846279477536,138.56047324323185,787,78.7
231,Quilpué,53.47579504292519,51.65815721171678,953,95.3
232,Kecskemét,35.839883348046996,57.22333130750223,793,79.3
233,Suzhou,90.37039786779775,157.32466196669466,895,89.5
234,Reykjavík,16.530091735635903,29.136574931030758,169,16.9
235,Gent,43.726269620965525,86.39309735445472,901,90.1
236,Peshawar,128.9678657973371,158.7925599564846,810,81.0
237,New Delhi,155.3281357677979,427.0972997741353,704,70.4
238,Sacramento,29.161515109380797,114.76384176863188,918,91.8
239,Philadelphia,32.96179285659959,39.81951713238562,806,80.6
240,Namur,30.785960630801984,106.3048755498986,969,96.9
241,Palma,25.26853097413442,12.246217176820608,121,12.1
242,Gifu-shi,36.309500402190196,48.43162037065333,799,79.9
243,Muzaffarnagar,149.40781062706273,350.72830547830256,776,77.6
244,Cuernavaca,63.09567905213066,169.74197522907198,813,81.3
245,Ashdod,56.64016388613859,50.32583463378801,875,87.5
246,Sofia,73.97380585673133,43.13315772103317,748,74.8
247,Zamboanga,60.995535714285715,0.4330357142857153,0,0.0
248,Yeosu,53.0713039247244,78.57829222131221,955,95.5
249,Chengdu,102.6413645656346,176.08260406862337,552,55.2
250,Abidjan,65.79429024434768,16.615098203635583,797,79.7
251,Sanandaj,25.687700840439998,179.88977876653072,999,99.9
252,Seongnam-si,66.90624172360825,137.9536813390541,763,76.3
253,Kabul,98.6455816882631,131.3395019253686,965,96.5
254,Oulu,19.320659520617806,29.029732517204728,961,96.1
255,Nagoya,38.71263229918333,65.8252941302301,975,97.5
256,Suwon,75.4282387855316,136.70246885190568,701,70.1
257,Miami,25.10758691314865,43.113897275632496,983,98.3
258,Manchester,32.29470160679143,74.66390655367991,946,94.6
259,Los Angeles,47.8325972607605,57.35232394289686,606,60.6
260,Columbus,31.45092567409725,56.188661496086475,995,99.5
261,Athens,48.00853340208178,8.593754632464325,383,38.3
262,Atlanta,37.472125265353846,54.41315594861207,984,98.4
263,Glasgow,22.288334769605626,53.66074005712492,964,96.4
264,Tarnów,57.951604185426476,92.59074147642006,528,52.8
265,Norwich,32.98423314264526,74.05385083955721,895,89.5
266,Zanjān,39.1636996091934,266.5792305976871,999,99.9
267,Győr,44.59117792365553,93.89920609544171,905,90.5
268,Saitama,40.121816819088096,68.69915743785319,976,97.6
269,Algiers,71.20099984751374,85.74068971937729,993,99.3
270,Utrecht,36.07975440932198,68.52400810627998,859,85.9
271,Islamabad,98.2993748039132,147.78165254841554,940,94.0
272,Charlotte,33.765474076813064,60.37620738549549,993,99.3
273,Caen,29.458084984657,46.033062209225236,973,97.3
274,Fuzhou,67.41630807395546,65.60001259709261,752,75.2
275,Portland,23.03030398720054,94.0935896756809,994,99.4
276,Kaohsiung,68.8177559416853,136.96404852563086,761,76.1
277,Salamanca,22.34918729827049,36.69690815127149,934,93.4
278,Cheongju-si,77.91775669717133,146.97599249641104,752,75.2
279,Daejeon,66.30210381634187,121.68743726919499,739,73.9
280,Bamako,117.97701145309601,221.27901396588837,995,99.5
281,Rome,48.81643277583559,97.0742392340696,793,79.3
282,Adelaide,13.692058316842797,94.98234439647817,999,99.9
283,Florence,48.986060098441904,113.27088374408315,535,53.5
284,Mokpo,64.15504567889163,88.15579158975981,793,79.3
285,Parma,61.72960167381746,150.53738545473794,542,54.2
286,Helsinki,22.026963499669282,37.59381581216955,971,97.1
287,Guatemala City,61.5984926291934,80.45941868249987,843,84.3
288,Kayseri,60.75132863276226,91.77492273370378,880,88.0
289,Omaha,29.956876968507945,40.709216819054106,977,97.7
290,Oklahoma City,36.25952401325037,51.61425434039442,969,96.9
291,Bishkek,64.02806913506302,250.60657492972564,998,99.8
292,Fresno,44.91266590303158,185.74032639882046,979,97.9
293,Pilsen,41.39424598760527,66.14054028285398,251,25.1
294,Nur-Sultan,52.62939807552342,183.38065350653451,988,98.8
295,Taipei,46.35082423524441,54.912390174403654,437,43.7
296,Chicago,34.072344398741784,47.85037136806463,972,97.2
297,Staten Island,29.437997525740858,44.72989076181523,605,60.5
298,Shijiazhuang,126.34406386624129,206.39407568238215,558,55.8
299,Qiqihar,71.75217265045548,210.0104140691531,786,78.6
300,Akita,42.284925736573406,66.71583739767827,981,98.1
301,Naha,30.28520490987816,35.68585892308773,245,24.5
302,Shanghai,86.87589372298076,107.66360847624749,828,82.8
303,Belfast,34.76734210475113,115.09277386408723,999,99.9
304,Durban,64.12073692450134,152.09820072985582,970,97.0
305,Fukuoka,45.614502373244726,41.176406299021714,628,62.8
306,Guangzhou,79.27039937028118,167.41846399336666,940,94.0
307,Wollongong,30.460780564757204,110.07692440114575,834,83.4
308,Szeged,49.847682484233474,115.95776877276836,847,84.7
309,Vientiane,75.61910049368602,214.474133753905,615,61.5
310,Chihuahua,42.15241545893719,1.0214975845410663,320,32.0
311,Tallahassee,36.029179348645414,24.4700851984501,311,31.1
312,Kumamoto,47.95623593013401,39.32276769161505,562,56.2
313,San Juan,43.250448420307286,83.35348108432788,858,85.8
314,Nanning,81.25686255485337,150.52564894551136,989,98.9
315,Hefei,99.28043899000517,153.63089594869334,696,69.6
316,The Hague,35.41124554517909,74.24735007762,882,88.2
317,Mississauga,26.325465829282567,33.20147226398612,939,93.9
318,London,31.082352198922695,35.76921389812448,918,91.8
319,Hsinchu,51.33844731155633,91.54315930330932,852,85.2
320,Netanya,61.43196957072096,35.176734714735275,767,76.7
321,Visakhapatnam,96.35339048372835,193.58592524457356,882,88.2
322,Valladolid,43.354194591416814,38.03013123210256,987,98.7
323,Vantaa,22.227121116122785,29.12235518776117,760,76.0
324,Tel Aviv,66.21886626844913,51.97072883858205,953,95.3
325,Miskolc,59.05483708835349,154.57095152869618,679,67.9
326,Dnipro,40.610322112074066,95.94795417782075,948,94.8
327,Douliu,63.679658072121924,151.73643198045306,929,92.9
328,Tianjin,115.69379230721695,117.52774432417787,572,57.2
329,Tbilisi,64.74158644933117,46.636138087903944,581,58.1
330,Kampala,128.8002617961832,75.63726803278149,124,12.4
331,Shantou,67.89074319111862,104.76397941139325,881,88.1
332,Thrissur,40.929391503667546,52.85009471212759,973,97.3
333,Nancy,34.23800390068465,62.42016023773529,864,86.4
334,Haifa,57.17392331358545,47.74256516024458,984,98.4
335,Chandigarh,109.11701159272071,172.95153192191566,701,70.1
336,Shenzhen,71.54713849060347,195.9548034649813,952,95.2
337,Toulouse,37.349247213360115,49.387095789515136,575,57.5
338,Thiruvananthapuram,75.33689836864343,188.82103811069976,940,94.0
339,Hangzhou,91.35015381355758,135.70414624307818,913,91.3
340,Copenhagen,34.55117181040816,30.775093328911588,797,79.7
341,Tucson,21.466168758938505,46.75882197150277,974,97.4
342,Ōita,40.59013829723299,39.51263216760987,657,65.7
343,Balıkesir,45.17584919097712,96.64412050685692,987,98.7
344,Kanazawa,31.608637348546278,52.51028836137287,829,82.9
345,Fushun,104.35933942000405,184.38257309369652,473,47.3
346,Dordrecht,31.376008480457866,79.44358010053226,934,93.4
347,Stuttgart,38.115669858043326,69.91059576778432,379,37.9
348,Jeju City,59.89185534576248,74.42063724651297,976,97.6
349,Lahore,154.7175068009942,318.3178482131534,948,94.8
350,Changsha,104.71817823290296,173.61204706491154,764,76.4
351,Ecatepec de Morelos,47.762465153325365,29.149860613301463,436,43.6
352,Hamilton,28.661092869094812,36.18969605354472,975,97.5
353,Vienna,37.54132177286933,60.10713994385293,265,26.5
354,Prato,58.257219852666175,161.99435029421824,313,31.3
355,Surrey,20.406677723926062,45.09717112929726,456,45.6
356,Krasnoyarsk,25.355484856263498,42.39804029859647,712,71.2
357,Los Ángeles,51.80471649920343,168.02724420092332,996,99.6
358,Chiba,36.56258128689996,44.60938792390417,950,95.0
359,Rennes,29.979980605230885,46.74796497532871,709,70.9
360,Ankara,55.24035404696789,78.09608774442859,813,81.3
361,Metz,34.9619378597019,76.83133265220589,895,89.5
362,Hāpur,137.99023406145207,412.6400712839254,944,94.4
363,Las Vegas,24.026845988488095,54.958669928668584,893,89.3
364,Yokohama,35.99898407078955,53.02808024806428,965,96.5
365,Amiens,37.38491323608914,67.62799739695657,952,95.2
366,Khorramabad,64.2750506245625,441.92348191957717,999,99.9
367,Taoyuan City,51.81946506327068,85.29043244868471,832,83.2
368,Bursa,66.50487472966617,262.10996557926484,993,99.3
369,Quito,51.99357918630931,58.78964841887803,988,98.8
370,Uppsala,20.93535884227625,65.61745612408848,999,99.9
371,Dubai,114.37698024451826,228.74251260282026,999,99.9
372,Wuxi,96.1554363245826,124.22205032793185,824,82.4
373,Richmond,27.120934480849584,24.366125558400643,682,68.2
374,Osaka,41.47389332333715,53.69748458808527,941,94.1
375,Pristina,66.24571284604654,151.1479747542039,735,73.5
376,Tours,36.775491609181834,66.64973089418329,926,92.6
377,Mysore,55.09705970145853,97.04379436138964,962,96.2
378,Baguio,71.60490196078432,67.96470588235294,817,81.7
379,Utsunomiya,39.47514304151539,51.186324472246454,819,81.9
380,Stockholm,22.65936243261744,62.83186713870113,997,99.7
381,Turin,64.3352900930487,163.29713305789505,549,54.9
382,Dammam,110.75431055472552,138.67746831278686,999,99.9
383,Hong Kong,63.12159797855711,153.7983691179046,875,87.5
384,Springfield,31.096475749924867,21.169420268153676,306,30.6
385,Cardiff,31.241194509312155,96.0842243768667,995,99.5
386,Santa Cruz de Tenerife,33.75041285584806,76.72726731936133,914,91.4
387,Lviv,42.192707886341154,91.25615372177347,989,98.9
388,Wiesbaden,34.06024385560676,64.20453149001536,588,58.8
389,Brisbane,24.157775080098492,41.53701352642538,997,99.7
390,Naples,58.41095104376529,119.226101262475,874,87.4
391,Mashhad,67.05852195017935,268.4758628838718,996,99.6
392,The Bronx,22.937546877040038,63.350803665873585,855,85.5
393,Pokhara,68.7540848451971,141.24151848301213,212,21.2
394,Andong,66.72251479903733,135.32184556575558,908,90.8
395,Biratnagar,78.69116053434283,176.31307028206328,967,96.7
396,Grenoble,38.662952816248136,72.13275396893297,345,34.5
397,Valencia,47.994434419399646,120.01901909732824,999,99.9
398,Gandhinagar,110.69471196289192,231.67680711406433,953,95.3
