,date,city,env,median
0,2019-11-15,Austin,temperature,5.8
1,2019-12-09,Austin,temperature,18.8
2,2019-12-16,Austin,temperature,7.9
3,2020-01-04,Austin,temperature,10.2
4,2019-10-23,Austin,temperature,21.2
5,2019-10-13,Austin,temperature,20.1
6,2019-10-24,Austin,temperature,18.8
7,2019-10-26,Austin,temperature,12.5
8,2019-10-27,Austin,temperature,16.5
9,2019-11-02,Austin,temperature,8.8
10,2019-11-03,Austin,temperature,15.2
11,2019-11-08,Austin,temperature,6.6
12,2019-10-03,Austin,temperature,26.9
13,2019-12-22,Austin,temperature,5.5
14,2019-12-07,Austin,temperature,11.1
15,2019-11-01,Austin,temperature,8.4
16,2019-11-12,Austin,temperature,0.2
17,2019-11-17,Austin,temperature,12.0
18,2019-11-24,Austin,temperature,13.8
19,2019-11-28,Austin,temperature,10.1
20,2019-12-04,Austin,temperature,12.9
21,2019-12-18,Austin,temperature,5.3
22,2019-10-10,Austin,temperature,26.8
23,2020-01-05,Austin,temperature,13.2
24,2019-12-20,Austin,temperature,8.8
25,2019-11-14,Austin,temperature,4.4
26,2019-11-26,Austin,temperature,19.1
27,2019-12-19,Austin,temperature,7.3
28,2020-01-03,Austin,temperature,10.9
29,2019-10-09,Austin,temperature,26.1
30,2019-10-12,Austin,temperature,13.8
31,2019-10-19,Austin,temperature,23.3
32,2019-11-21,Austin,temperature,21.9
33,2019-12-05,Austin,temperature,16.3
34,2019-12-08,Austin,temperature,17.1
35,2019-12-14,Austin,temperature,15.0
36,2019-12-24,Austin,temperature,11.4
37,2019-10-05,Austin,temperature,26.9
38,2019-12-26,Austin,temperature,16.1
39,2019-12-15,Austin,temperature,16.7
40,2019-10-31,Austin,temperature,3.5
41,2019-10-02,Austin,temperature,26.8
42,2019-10-20,Austin,temperature,25.0
43,2019-10-25,Austin,temperature,8.8
44,2019-11-10,Austin,temperature,17.5
45,2019-11-30,Austin,temperature,22.6
46,2019-12-10,Austin,temperature,5.8
47,2019-09-30,Austin,temperature,27.3
48,2019-11-06,Austin,temperature,21.5
49,2019-11-07,Austin,temperature,16.0
50,2019-12-23,Austin,temperature,7.5
51,2019-10-14,Austin,temperature,23.3
52,2019-10-18,Austin,temperature,19.7
53,2019-11-05,Austin,temperature,21.1
54,2019-11-18,Austin,temperature,12.2
55,2019-11-22,Austin,temperature,12.2
56,2019-12-06,Austin,temperature,15.6
57,2019-12-21,Austin,temperature,9.4
58,2019-10-11,Austin,temperature,11.6
59,2019-12-11,Austin,temperature,4.4
60,2019-12-17,Austin,temperature,3.6
61,2019-12-02,Austin,temperature,9.3
62,2019-10-28,Austin,temperature,16.5
63,2019-10-29,Austin,temperature,10.5
64,2019-11-13,Austin,temperature,2.7
65,2019-11-23,Austin,temperature,9.0
66,2019-12-03,Austin,temperature,13.7
67,2019-10-04,Austin,temperature,26.6
68,2019-10-15,Austin,temperature,24.7
69,2019-10-21,Austin,temperature,19.5
70,2019-11-20,Austin,temperature,21.2
71,2019-10-01,Austin,temperature,27.0
72,2019-10-16,Austin,temperature,18.3
73,2019-10-17,Austin,temperature,14.8
74,2019-11-04,Austin,temperature,18.6
75,2019-11-11,Austin,temperature,17.2
76,2019-11-29,Austin,temperature,12.9
77,2019-12-12,Austin,temperature,9.0
78,2019-10-08,Austin,temperature,21.1
79,2019-11-16,Austin,temperature,9.7
80,2019-11-25,Austin,temperature,20.4
81,2019-12-01,Austin,temperature,11.9
82,2019-12-27,Austin,temperature,15.6
83,2019-12-28,Austin,temperature,17.1
84,2019-10-06,Austin,temperature,27.3
85,2019-10-22,Austin,temperature,17.3
86,2019-10-30,Austin,temperature,6.6
87,2019-11-09,Austin,temperature,11.2
88,2019-11-19,Austin,temperature,17.3
89,2019-11-27,Austin,temperature,12.6
90,2019-12-13,Austin,temperature,11.8
91,2019-12-25,Austin,temperature,13.1
92,2019-10-07,Austin,temperature,22.6
93,2019-10-13,Austin,pm25,21.0
94,2019-10-28,Austin,pm25,24.0
95,2019-11-29,Austin,pm25,29.0
96,2019-12-12,Austin,pm25,27.0
97,2020-01-04,Austin,pm25,10.0
98,2019-10-17,Austin,pm25,22.0
99,2019-11-08,Austin,pm25,21.0
100,2019-11-09,Austin,pm25,30.0
101,2019-11-15,Austin,pm25,30.0
102,2019-12-16,Austin,pm25,20.0
103,2019-12-09,Austin,pm25,55.0
104,2019-12-11,Austin,pm25,23.0
105,2019-12-14,Austin,pm25,33.0
106,2019-10-03,Austin,pm25,32.0
107,2019-10-07,Austin,pm25,17.0
108,2019-11-18,Austin,pm25,29.0
109,2019-11-25,Austin,pm25,30.0
110,2019-12-03,Austin,pm25,23.0
111,2019-12-15,Austin,pm25,54.0
112,2019-11-22,Austin,pm25,13.0
113,2019-12-18,Austin,pm25,13.0
114,2019-12-19,Austin,pm25,25.0
115,2019-12-26,Austin,pm25,25.0
116,2019-10-11,Austin,pm25,9.0
117,2019-10-30,Austin,pm25,9.0
118,2019-11-01,Austin,pm25,20.0
119,2019-11-17,Austin,pm25,46.0
120,2019-12-05,Austin,pm25,40.0
121,2019-11-28,Austin,pm25,21.0
122,2019-11-30,Austin,pm25,30.0
123,2019-12-25,Austin,pm25,39.0
124,2019-10-04,Austin,pm25,44.0
125,2019-10-24,Austin,pm25,17.0
126,2019-10-26,Austin,pm25,5.0
127,2019-10-27,Austin,pm25,27.0
128,2019-11-14,Austin,pm25,41.0
129,2019-11-02,Austin,pm25,27.0
130,2019-11-05,Austin,pm25,30.0
131,2019-11-10,Austin,pm25,31.0
132,2019-11-27,Austin,pm25,13.0
133,2019-12-17,Austin,pm25,15.0
134,2020-01-01,Austin,pm25,43.0
135,2020-01-05,Austin,pm25,15.0
136,2019-10-09,Austin,pm25,34.0
137,2019-10-19,Austin,pm25,25.0
138,2019-11-04,Austin,pm25,25.0
139,2019-11-16,Austin,pm25,31.0
140,2019-12-10,Austin,pm25,17.0
141,2019-11-20,Austin,pm25,30.0
142,2019-12-01,Austin,pm25,9.0
143,2019-12-13,Austin,pm25,22.0
144,2019-10-01,Austin,pm25,23.0
145,2019-10-18,Austin,pm25,29.0
146,2019-10-20,Austin,pm25,34.0
147,2019-11-13,Austin,pm25,25.0
148,2019-11-19,Austin,pm25,38.0
149,2019-12-24,Austin,pm25,38.0
150,2019-12-31,Austin,pm25,18.0
151,2019-10-02,Austin,pm25,31.0
152,2019-10-29,Austin,pm25,11.0
153,2019-12-20,Austin,pm25,22.0
154,2019-12-28,Austin,pm25,14.0
155,2019-12-04,Austin,pm25,21.0
156,2019-12-06,Austin,pm25,21.0
157,2019-12-07,Austin,pm25,34.0
158,2019-11-21,Austin,pm25,22.0
159,2020-01-02,Austin,pm25,34.0
160,2019-10-12,Austin,pm25,10.0
161,2019-11-24,Austin,pm25,31.0
162,2019-11-26,Austin,pm25,60.0
163,2019-12-23,Austin,pm25,50.0
164,2019-12-27,Austin,pm25,21.0
165,2019-11-07,Austin,pm25,35.0
166,2019-12-21,Austin,pm25,35.0
167,2019-12-30,Austin,pm25,13.0
168,2019-10-08,Austin,pm25,18.0
169,2019-10-14,Austin,pm25,38.0
170,2019-10-22,Austin,pm25,16.0
171,2019-10-23,Austin,pm25,19.0
172,2019-10-25,Austin,pm25,5.0
173,2019-10-31,Austin,pm25,13.0
174,2019-11-06,Austin,pm25,20.0
175,2019-12-02,Austin,pm25,10.0
176,2019-09-30,Austin,pm25,25.0
177,2019-10-06,Austin,pm25,42.0
178,2019-10-10,Austin,pm25,22.0
179,2019-10-15,Austin,pm25,17.0
180,2019-10-21,Austin,pm25,16.0
181,2019-12-08,Austin,pm25,47.0
182,2020-01-03,Austin,pm25,14.0
183,2019-11-23,Austin,pm25,17.0
184,2019-12-22,Austin,pm25,38.0
185,2019-12-29,Austin,pm25,13.0
186,2019-10-05,Austin,pm25,35.0
187,2019-10-16,Austin,pm25,20.0
188,2019-11-03,Austin,pm25,35.0
189,2019-11-11,Austin,pm25,16.0
190,2019-11-12,Austin,pm25,12.0
