,date,city,env,median
151,2020-10-19,Austin,temperature,26.3
152,2020-01-19,Austin,temperature,7.5
153,2020-02-13,Austin,temperature,6.2
154,2020-02-15,Austin,temperature,11.6
155,2020-02-29,Austin,temperature,16.1
156,2020-07-27,Austin,temperature,28.0
157,2020-03-26,Austin,temperature,22.7
158,2020-03-28,Austin,temperature,22.2
159,2020-07-02,Austin,temperature,28.9
160,2020-07-26,Austin,temperature,25.0
161,2020-02-24,Austin,temperature,17.5
162,2020-06-29,Austin,temperature,27.9
163,2020-07-23,Austin,temperature,29.6
164,2020-01-20,Austin,temperature,7.7
165,2020-08-15,Austin,temperature,31.9
166,2020-10-13,Austin,temperature,21.6
167,2020-04-28,Austin,temperature,26.1
168,2020-01-23,Austin,temperature,11.0
169,2020-02-27,Austin,temperature,8.4
170,2020-03-15,Austin,temperature,15.5
171,2020-04-09,Austin,temperature,22.9
172,2020-07-31,Austin,temperature,26.2
173,2020-08-09,Austin,temperature,29.2
174,2020-08-21,Austin,temperature,28.6
175,2020-08-30,Austin,temperature,30.5
176,2020-02-28,Austin,temperature,12.5
177,2020-06-14,Austin,temperature,27.5
178,2020-07-24,Austin,temperature,30.2
179,2020-07-25,Austin,temperature,25.5
180,2020-05-04,Austin,temperature,26.5
181,2020-07-11,Austin,temperature,31.2
182,2020-05-25,Austin,temperature,21.8
183,2020-07-17,Austin,temperature,28.6
184,2020-08-17,Austin,temperature,29.0
185,2020-10-17,Austin,temperature,17.0
186,2020-04-29,Austin,temperature,24.3
187,2020-07-14,Austin,temperature,30.5
188,2020-07-21,Austin,temperature,27.6
189,2020-08-02,Austin,temperature,27.6
190,2020-10-25,Austin,temperature,21.1
191,2020-05-16,Austin,temperature,20.6
192,2020-08-29,Austin,temperature,31.0
193,2020-09-07,Austin,temperature,28.4
194,2020-09-18,Austin,temperature,25.5
195,2020-04-02,Austin,temperature,18.8
196,2020-05-23,Austin,temperature,27.4
197,2020-06-13,Austin,temperature,26.7
198,2020-09-13,Austin,temperature,27.7
199,2020-01-07,Austin,temperature,10.5
200,2020-01-31,Austin,temperature,7.7
201,2020-02-23,Austin,temperature,18.3
202,2020-03-19,Austin,temperature,22.9
203,2020-06-08,Austin,temperature,30.5
204,2020-06-09,Austin,temperature,28.0
205,2020-10-10,Austin,temperature,25.8
206,2020-01-22,Austin,temperature,10.4
207,2020-02-17,Austin,temperature,18.8
208,2020-05-06,Austin,temperature,22.1
209,2020-06-02,Austin,temperature,26.1
210,2020-08-11,Austin,temperature,29.8
211,2020-08-13,Austin,temperature,30.1
212,2020-08-04,Austin,temperature,29.1
213,2020-09-30,Austin,temperature,21.5
214,2020-10-23,Austin,temperature,22.6
215,2020-10-26,Austin,temperature,22.7
216,2020-01-03,Austin,temperature,10.9
217,2020-01-18,Austin,temperature,16.8
218,2020-03-18,Austin,temperature,22.2
219,2020-05-08,Austin,temperature,23.8
220,2020-01-25,Austin,temperature,14.4
221,2020-03-02,Austin,temperature,18.8
222,2020-08-08,Austin,temperature,28.7
223,2020-07-13,Austin,temperature,31.6
