,city,date,avgMedian
0,Saint-Denis,2019-08,38.516129032258064
1,Columbia,2019-07,38.541666666666664
2,Queens,2019-08,24.70967741935484
3,Breda,2019-10,14.666666666666666
4,Brussels,2019-09,24.933333333333334
5,Trondheim,2019-08,18.129032258064516
6,Kyiv,2019-07,19.129032258064516
7,Trieste,2019-10,25.5
8,Rayong,2019-08,35.516129032258064
9,Bangkok,2019-09,69.1
10,The Bronx,2019-08,25.548387096774192
11,São Paulo,2019-09,58.166666666666664
12,Dublin,2019-07,57.074074074074076
13,Islamabad,2019-07,96.54838709677419
14,Seoul,2019-08,56.38709677419355
15,Johannesburg,2019-07,98.29032258064517
16,Visakhapatnam,2019-08,91.78571428571429
17,Dongguan,2019-09,88.43333333333334
18,Lisbon,2019-07,36.13333333333333
19,Sivas,2019-07,46.70967741935484
20,Mexico City,2019-09,53.93333333333333
21,Glasgow,2019-10,15.666666666666666
22,The Bronx,2019-10,20.833333333333332
23,Daejeon,2019-10,49.5
24,Fukuoka,2019-09,38.63333333333333
25,Tianjin,2019-09,110.3
26,Harbin,2019-07,59.87096774193548
27,Hegang,2019-08,39.0
28,Wuxi,2019-08,71.16129032258064
29,Ningbo,2019-09,63.275862068965516
30,Liège,2019-07,23.548387096774192
31,Gent,2019-07,36.806451612903224
32,Oaxaca,2019-09,30.366666666666667
33,Milwaukee,2019-09,25.8
34,Belgrade,2019-10,45.166666666666664
35,Donostia / San Sebastián,2019-09,38.733333333333334
36,Jeonju,2019-09,53.0
37,Yeosu,2019-08,55.12903225806452
38,Middelburg,2019-08,86.93103448275862
39,Nur-Sultan,2019-08,32.32258064516129
40,Nanning,2019-10,112.83333333333333
41,Zhengzhou,2019-10,79.66666666666667
42,Xinxiang,2019-08,93.29032258064517
43,Valparaíso,2019-10,27.5
44,Clermont-Ferrand,2019-07,39.064516129032256
45,Puebla,2019-07,74.71428571428571
46,Edinburgh,2019-10,15.5
47,Oakland,2019-10,27.666666666666668
48,Little Rock,2019-10,43.833333333333336
49,Halifax,2019-07,27.93548387096774
50,Niš,2019-08,56.58064516129032
51,Suwon,2019-09,47.46666666666667
52,Kobe,2019-10,41.0
53,Yinchuan,2019-07,63.54838709677419
54,Perpignan,2019-09,39.733333333333334
55,Antwerpen,2019-10,29.5
56,Douliu,2019-09,62.96666666666667
57,Kaohsiung,2019-09,65.43333333333334
58,Kamianske,2019-09,39.06666666666667
59,Arāk,2019-10,74.66666666666667
60,Preston,2019-08,25.333333333333332
61,The Bronx,2019-07,37.516129032258064
62,Winnipeg,2019-08,18.0
63,Andong,2019-08,52.38709677419355
64,Cape Town,2019-09,35.28
65,Port Elizabeth,2019-10,36.5
66,Chiba,2019-08,42.935483870967744
67,Nagano,2019-08,36.96774193548387
68,Ürümqi,2019-07,59.32258064516129
69,Nanning,2019-07,59.67741935483871
70,Changsha,2019-08,83.38709677419355
71,Rennes,2019-07,23.161290322580644
72,Charleroi,2019-09,15.966666666666667
73,Namur,2019-09,14.5
74,Ecatepec de Morelos,2019-08,53.96774193548387
75,Preston,2019-09,22.933333333333334
76,Montréal,2019-07,36.935483870967744
77,Tuzla,2019-10,57.333333333333336
78,Gifu-shi,2019-10,41.333333333333336
79,Amsterdam,2019-07,33.935483870967744
80,Wiesbaden,2019-08,32.67741935483871
81,Turin,2019-08,45.0
82,Dammam,2019-07,117.88235294117646
83,Madison,2019-08,23.032258064516128
84,Fort Worth,2019-07,40.67741935483871
85,Seongnam-si,2019-09,37.43333333333333
86,Jeju City,2019-09,48.77777777777778
87,Hiroshima,2019-10,37.833333333333336
88,Naha,2019-08,30.548387096774192
89,Wollongong,2019-08,22.032258064516128
90,Samsun,2019-09,40.233333333333334
91,Sivas,2019-09,43.6
92,Pachuca de Soto,2019-08,37.875
93,Indianapolis,2019-08,33.516129032258064
94,Providence,2019-08,29.0
95,Ashgabat,2019-10,48.0
96,Oviedo,2019-08,45.61290322580645
97,Pretoria,2019-08,99.38709677419355
98,Nashik,2019-10,65.33333333333333
99,Xiamen,2019-07,55.806451612903224
100,Santiago,2019-07,131.48387096774192
101,Nijmegen,2019-10,20.666666666666668
102,Poznań,2019-09,34.9
103,Mokpo,2019-10,55.833333333333336
104,Lhasa,2019-10,30.166666666666668
105,Guangzhou,2019-09,85.93333333333334
106,Santiago,2019-08,95.06451612903226
107,Besançon,2019-10,15.5
108,Nancy,2019-10,19.666666666666668
109,Birmingham,2019-09,22.366666666666667
110,Jackson,2019-07,40.16129032258065
111,Fresno,2019-07,34.12903225806452
112,Providence,2019-09,23.066666666666666
113,Kampala,2019-08,147.51612903225808
114,Pohang,2019-08,53.903225806451616
115,Lima,2019-10,89.16666666666667
116,Helsinki,2019-08,25.258064516129032
117,Patna,2019-09,99.6
118,Groningen,2019-08,30.161290322580644
119,Liège,2019-09,16.4
120,Khorramabad,2019-10,98.16666666666667
121,Belgrade,2019-08,41.25806451612903
122,Karlsruhe,2019-07,36.483870967741936
123,Mississauga,2019-08,23.806451612903224
124,Hohhot,2019-08,48.45161290322581
125,Grenoble,2019-09,31.033333333333335
126,Malmö,2019-07,33.25806451612903
127,Kecskemét,2019-07,37.833333333333336
128,Freiburg,2019-10,13.666666666666666
129,Birmingham,2019-08,28.3
130,Raleigh,2019-10,42.166666666666664
131,Baltimore,2019-08,35.67741935483871
132,Salem,2019-08,20.870967741935484
133,Ottawa,2019-09,26.866666666666667
134,Saitama,2019-09,41.333333333333336
135,Katowice,2019-07,47.903225806451616
136,Lucknow,2019-09,85.03333333333333
137,Manama,2019-07,111.45161290322581
138,Hangzhou,2019-07,69.16129032258064
139,Wuhan,2019-09,94.93333333333334
140,Concepción,2019-07,70.7741935483871
141,Göteborg,2019-09,18.0
142,Bergen,2019-09,17.133333333333333
143,Lanzhou,2019-08,64.96774193548387
144,Rouen,2019-08,38.74193548387097
145,Kaohsiung,2019-07,39.0
146,Bristol,2019-09,36.4
147,Kitchener,2019-08,25.096774193548388
148,Daejeon,2019-08,53.58064516129032
149,Takamatsu,2019-07,42.45161290322581
150,Delhi,2019-10,119.66666666666667
151,Chongqing,2019-09,88.1
152,Xining,2019-07,69.2258064516129
153,Marseille,2019-08,40.193548387096776
154,Stavanger,2019-08,24.677419354838708
155,Bishkek,2019-09,73.18518518518519
156,Bogotá,2019-07,33.54838709677419
157,Stuttgart,2019-09,27.666666666666668
158,Norwich,2019-10,16.666666666666668
159,Oklahoma City,2019-08,38.67741935483871
160,Raleigh,2019-07,44.064516129032256
161,San Antonio,2019-10,29.5
162,Saint Paul,2019-07,27.322580645161292
163,Daejeon,2019-09,43.06666666666667
164,Dushanbe,2019-10,82.66666666666667
165,Rijeka,2019-07,35.74193548387097
166,Pokhara,2019-07,27.25
167,Odessa,2019-07,19.677419354838708
168,Mérida,2019-08,66.875
169,Swansea,2019-09,28.266666666666666
170,Dammam,2019-10,143.5
171,Ashdod,2019-07,62.29032258064516
172,Dushanbe,2019-09,138.5
173,Hyderabad,2019-08,55.935483870967744
174,Kolkata,2019-07,86.19354838709677
175,Nanchang,2019-10,100.33333333333333
176,Shiyan,2019-08,70.48387096774194
177,The Hague,2019-07,29.0
178,Zaporizhia,2019-09,41.93333333333333
179,Yangon,2019-09,32.2
180,Tepic,2019-08,25.714285714285715
181,Edinburgh,2019-07,20.774193548387096
182,Daegu,2019-10,49.5
183,Bloemfontein,2019-08,98.58064516129032
184,Matsuyama,2019-08,47.61290322580645
185,Kobe,2019-09,36.166666666666664
186,Macau,2019-10,65.66666666666667
187,Qingdao,2019-10,90.16666666666667
188,Hegang,2019-10,53.0
189,Ternopil,2019-07,23.70967741935484
190,Rome,2019-07,46.61290322580645
191,Springfield,2019-08,27.193548387096776
192,Jerusalem,2019-09,60.266666666666666
193,Shizuoka,2019-08,43.483870967741936
194,Jaipur,2019-07,96.70967741935483
195,Shantou,2019-08,54.61290322580645
196,Tianjin,2019-08,78.45161290322581
