,city,date,avgMedian
0,Charlotte,2020-01,9.8
1,Caen,2020-01,7.2
2,Brussels,2019-09,15.0
3,Breda,2019-10,11.670967741935483
4,Dunedin,2020-01,14.2
5,Taitung City,2020-01,20.633333333333336
6,Bangkok,2019-09,30.0
7,Gandhinagar,2020-01,20.933333333333334
8,Dongguan,2019-09,29.5
9,Trieste,2019-10,15.629032258064518
10,São Paulo,2019-09,21.9
11,Győr,2020-01,1.5999999999999999
12,The Bronx,2019-10,15.619354838709679
13,Dunedin,2019-09,7.9
14,Glasgow,2019-10,8.23225806451613
15,Mexico City,2019-09,15.5
16,Kota Bharu,2019-09,27.0
17,Tianjin,2019-09,23.5
18,Ningbo,2019-09,27.7
19,Daejeon,2019-10,15.693548387096774
20,Fukuoka,2019-09,24.0
21,Puerto Montt,2020-01,14.0
22,Milwaukee,2019-09,23.8
23,Belgrade,2019-10,16.016129032258064
24,Oaxaca,2019-09,21.0
25,Nanning,2019-10,24.006451612903227
26,Zhengzhou,2019-10,16.46451612903226
27,Jeonju,2019-09,21.6
28,Donostia / San Sebastián,2019-09,19.5
29,Valparaíso,2019-10,13.241935483870968
30,Oklahoma City,2020-01,6.725
31,Oakland,2019-10,15.77741935483871
32,Little Rock,2019-10,16.125806451612906
33,Perpignan,2019-09,21.1
34,Antwerpen,2019-10,12.506451612903227
35,Ploieşti,2019-09,13.1
36,Edinburgh,2019-10,8.248387096774193
37,Amman,2020-01,7.033333333333334
38,Jeonju,2020-01,2.2666666666666666
39,Suwon,2019-09,19.9
40,Kobe,2019-10,20.783870967741937
41,Salzburg,2019-10,9.95806451612903
42,Douliu,2019-09,26.2
43,Kaohsiung,2019-09,28.2
44,Liège,2020-01,6.333333333333333
45,Charleroi,2019-09,13.5
46,Namur,2019-09,14.4
47,Kamianske,2019-09,18.0
48,Petaẖ Tiqwa,2020-01,11.2
49,Cape Town,2019-09,17.0
50,Port Elizabeth,2019-10,17.370967741935484
51,Arāk,2019-10,15.658064516129034
52,Tehran,2020-01,5.26
53,Tuzla,2019-10,11.27741935483871
54,Grenoble,2020-01,3.533333333333333
55,Preston,2019-09,12.1
56,Gifu-shi,2019-10,17.651612903225807
57,Ho Chi Minh City,2020-01,27.833333333333332
58,Seongnam-si,2019-09,17.0
59,Jeju City,2019-09,23.4
60,Hiroshima,2019-10,20.41935483870968
61,Samsun,2019-09,17.0
62,Sivas,2019-09,13.0
63,Ashgabat,2019-10,18.548387096774192
64,Augsburg,2020-01,3.533333333333333
65,Fort Worth,2020-01,8.0
66,Nashik,2019-10,23.232258064516127
67,Nijmegen,2019-10,11.606451612903225
68,Klang,2019-10,25.43870967741935
69,Xuchang,2020-01,5.0
70,Poznań,2019-09,13.6
71,Münster,2019-10,11.40322580645161
72,Kolkata,2020-01,15.933333333333332
73,Besançon,2019-10,10.703225806451613
74,Nancy,2019-10,12.535483870967742
75,Oradea,2019-09,17.5
76,Braşov,2019-10,9.893548387096773
77,Lhasa,2019-10,10.154838709677419
78,Guangzhou,2019-09,29.5
79,Mokpo,2019-10,16.951612903225808
80,Burgos,2020-01,2.2333333333333334
81,Providence,2019-09,14.7
82,Las Vegas,2020-01,8.05
83,Patna,2019-09,31.6
84,Hong Kong,2020-01,19.766666666666666
85,Lima,2019-10,16.809677419354834
86,Liège,2019-09,13.8
87,Birmingham,2019-09,12.7
88,Ecatepec de Morelos,2020-01,12.866666666666667
89,Takamatsu,2020-01,7.266666666666667
90,Kagoshima,2020-01,9.9
91,Shiraz,2020-01,10.5
92,Debrecen,2019-10,11.667741935483871
93,Kabul,2020-01,-1.8
94,Huế,2020-01,22.5
95,Cardiff,2020-01,7.450000000000001
96,Mérida,2020-01,23.53333333333333
97,Harbin,2020-01,-17.0
98,Anyang,2020-01,-0.20000000000000004
99,Khorramabad,2019-10,18.809677419354838
100,Grenoble,2019-09,15.5
101,Krasnoyarsk,2020-01,-1.3333333333333333
102,Yazd,2020-01,6.833333333333333
103,Talca,2020-01,22.733333333333334
104,Freiburg,2019-10,11.674193548387096
105,Raleigh,2019-10,18.06129032258065
106,Lucknow,2019-09,23.0
107,Guadalajara,2020-01,13.1
108,Göteborg,2019-09,10.5
109,Wuhan,2019-09,27.0
110,Bergen,2019-09,7.7
111,Akita,2020-01,1.4000000000000001
112,Saitama,2019-09,26.5
113,Ottawa,2019-09,9.9
114,Yangon,2020-01,26.333333333333332
115,Lahore,2020-01,12.333333333333334
116,Dresden,2020-01,2.65
117,Bacău,2020-01,1.1666666666666667
118,Xi’an,2020-01,4.0
119,Delhi,2019-10,26.996774193548386
120,Bengaluru,2020-01,25.333333333333332
121,Bristol,2019-09,14.7
122,Chongqing,2019-09,27.0
123,Sejong,2020-01,0.6666666666666666
124,Stuttgart,2019-09,15.0
125,Bishkek,2019-09,12.5
126,San Antonio,2019-10,20.854838709677416
127,Norwich,2019-10,10.780645161290325
128,Rome,2020-01,7.8999999999999995
129,Daejeon,2019-09,21.9
130,Mecca,2019-10,29.125806451612902
131,Dushanbe,2019-10,15.693548387096774
132,Montpellier,2020-01,9.299999999999999
133,Swansea,2019-09,13.8
134,Nanchang,2019-10,21.135483870967743
135,Dammam,2019-10,31.693548387096776
136,Taoyuan City,2020-01,19.433333333333334
137,Dushanbe,2019-09,22.5
138,Zagreb,2019-09,19.4
139,Phoenix,2020-01,9.0
140,Zaporizhia,2019-09,16.7
141,Qingdao,2019-10,16.161290322580644
142,Hegang,2019-10,5.04516129032258
143,Daegu,2019-10,16.32580645161291
144,Kobe,2019-09,25.5
145,Yangon,2019-09,28.5
146,Salamanca,2020-01,3.0
147,Macau,2019-10,17.293548387096774
148,Sivas,2020-01,-3.6666666666666665
149,Bamako,2020-01,21.0
150,Craiova,2020-01,2.3333333333333335
151,Burgas,2020-01,3.1666666666666665
152,Jerusalem,2019-09,20.5
153,Dublin,2020-01,7.65
154,Riyadh,2019-09,37.0
155,Jeddah,2020-01,23.25
156,Thrissur,2019-10,25.833333333333332
157,Liège,2019-10,11.529032258064516
158,Kumamoto,2020-01,7.5
159,Kathmandu,2019-09,19.5
160,Concepción,2019-10,12.490322580645156
161,Kecskemét,2020-01,-0.5666666666666668
162,Hāpur,2019-09,28.5
163,Shillong,2019-10,26.387096774193548
164,Adelaide,2019-09,14.8
165,Marseille,2019-09,22.3
166,Limoges,2019-09,14.6
