,city,mean,S_diff,num_bootstraps,CI
0,Lampang,82.41860018226119,260.5316675514882,82,82.0
1,Kielce,60.66060606060606,118.6242424242424,99,99.0
2,Erzurum,94.95994466578959,232.9697614873112,86,86.0
3,Kobe,41.85155145844453,57.24921024123264,96,96.0
4,Donostia / San Sebastián,35.922837688667784,56.95581088436347,85,85.0
5,Nagasaki,42.390150661996195,41.94610828226437,62,62.0
6,Hegang,64.38769941435403,123.45956547160667,91,91.0
7,Xi’an,114.53164062871379,217.57996889944238,51,51.0
8,Burgos,25.389560872479393,37.574320826559415,82,82.0
9,Liège,32.27795561658964,100.49074132562238,95,95.0
10,Castelló de la Plana,28.795323949008594,84.68654545615061,99,99.0
11,Freiburg,30.104768347614563,57.3134155981208,51,51.0
12,El Paso,27.110436139530965,42.37948189957365,99,99.0
13,Chennai,78.51499525996189,141.11243353420775,95,95.0
14,Buenos Aires,37.605728545285544,51.69490144844115,91,91.0
15,Québec,28.87312565616931,48.9257001402996,65,65.0
16,Karlsruhe,35.93189852108095,70.29604838370139,41,41.0
17,Tallinn,17.219103932466002,41.40687173103747,96,96.0
18,Poznań,37.44161670847888,21.597449796863323,78,78.0
19,Modena,61.9985255551964,171.1892311125479,65,65.0
20,Linz,40.54917043267572,63.09629977070897,51,51.0
21,Guiyang,72.92551810212404,126.1294526987658,84,84.0
22,Wuhan,101.23901315643529,153.4882422777445,80,80.0
23,Mérida,66.67870751132371,48.54394580487527,65,65.0
24,Kütahya,57.781872924758545,134.19435536414596,58,58.0
25,Yazd,0.7142857142857144,2.8571428571428577,0,0.0
26,Leeds,36.62825559297334,74.83628712237575,97,97.0
27,San Jose,29.89508768561188,81.87387672811064,94,94.0
28,Hohhot,92.84692476445814,259.2981578534554,83,83.0
29,Kaunas,41.124985367445994,85.439096158526,94,94.0
30,Nîmes,33.41064773758588,62.861073510809916,94,94.0
31,Tuzla,82.85702174169917,247.17436019671834,84,84.0
32,Amsterdam,37.740788189223956,60.26387779427973,74,74.0
33,Vancouver,19.433762383179793,43.579141900307135,57,57.0
34,Brno,45.27286376397055,80.52319932199798,39,39.0
35,San Luis Potosí,89.62053135963036,241.81270214768543,58,58.0
36,Livorno,46.07244296613039,89.64082835345351,45,45.0
37,Ningbo,76.74305560405027,130.07424455768512,82,82.0
38,Adana,86.5,0.0,0,0.0
39,Jinan,112.96443528353983,141.1297437051883,39,39.0
40,Keelung,40.211454339443776,45.92090470554031,49,49.0
41,Darmstadt,33.26134111840452,69.30212697326161,73,73.0
